I_q1_15	I_q2_15	Q_q1_15	Q_q2_15
4.36072e+11	4.49166e+10	-1.24015e+11	-1.77297e+11
-2.90018e+10	1.36326e+11	-2.79739e+11	2.04411e+11
1.80354e+11	2.4166e+11	-3.28002e+11	7.56722e+10
4.54513e+11	-2.39283e+10	-3.22166e+11	8.78416e+10
2.1011e+11	4.43776e+11	-2.4847e+11	-1.76775e+11
1.1378e+11	4.68602e+11	-3.4561e+11	-1.78577e+11
3.38235e+11	3.99253e+11	-1.83401e+11	-3.70938e+11
3.44126e+11	2.07851e+11	-3.17445e+11	-3.14575e+10
9.05551e+10	1.53816e+11	-3.2473e+11	-4.21525e+11
-2.19384e+11	2.34991e+11	-2.72784e+11	-1.04554e+11
-1.38249e+11	-9.29154e+10	-1.68307e+11	-8.65132e+10
1.48754e+11	3.43721e+10	-2.51831e+11	-1.34521e+11
6.58344e+10	-5.14392e+10	7.48929e+10	-1.15985e+11
-1.57262e+11	2.9374e+11	-3.95313e+11	-1.18837e+09
-1.87341e+10	5.31714e+11	-1.71353e+11	4.41071e+10
1.52762e+11	4.49353e+11	-1.71023e+11	-2.0071e+11
4.60459e+11	3.35897e+11	-1.37578e+11	-1.45701e+11
2.0722e+11	4.04531e+11	3.34438e+10	-3.86702e+11
1.43491e+11	5.3901e+11	-1.94467e+11	-9.04232e+10
2.53693e+11	2.3663e+11	-1.00017e+11	-1.14034e+11
-9.81353e+10	-1.10902e+10	-5.34676e+10	1.22262e+11
1.09211e+11	4.37607e+11	-2.41612e+11	-2.22398e+11
2.16015e+11	8.46189e+10	-2.52229e+11	6.935e+09
-5.90183e+10	-7.83596e+10	-2.4578e+10	-1.86194e+11
-4.74248e+10	-1.24533e+11	-3.72488e+10	-1.61707e+11
4.38523e+11	2.86567e+11	-1.65605e+11	-2.10072e+11
2.92829e+11	3.81186e+11	-1.09883e+11	-2.27595e+11
3.95879e+10	-1.59554e+10	-1.26356e+11	-2.07949e+11
3.36718e+10	1.49398e+11	-1.07684e+11	-2.57083e+11
2.01695e+10	1.62281e+11	-3.47436e+11	-6.58479e+10
-1.88503e+10	1.11117e+11	-1.05264e+11	-1.89577e+11
5.41247e+09	2.63206e+11	-1.76725e+11	-1.91787e+11
-1.31837e+11	-1.14631e+11	-1.09447e+11	-4.40545e+10
1.10528e+11	4.55812e+10	-1.96408e+11	-3.12411e+11
1.39e+11	4.85053e+11	-1.81791e+11	-1.28144e+11
4.62469e+10	3.31182e+10	-1.28236e+11	1.25308e+10
2.09868e+11	4.02141e+11	-6.96894e+10	-3.14984e+11
-1.74588e+11	4.57719e+10	3.924e+10	-2.14041e+11
3.0975e+11	4.78309e+11	-9.46652e+10	-1.52103e+11
4.02518e+11	3.89233e+11	1.46574e+11	-2.16407e+11
1.94992e+11	-9.33688e+10	-2.25237e+11	-2.53923e+10
3.23154e+11	1.01617e+11	-2.61537e+11	-1.48441e+11
3.33747e+11	2.31459e+11	-2.3644e+11	-1.15975e+11
1.39965e+11	1.53749e+11	-2.21591e+11	-3.90168e+10
4.1322e+11	7.28376e+10	-3.93913e+11	-1.79907e+11
1.58921e+11	1.10371e+11	-7.6678e+10	-3.21344e+11
